date,platform,n
2017-02-02,facebook,543
2017-02-02,mailchimp,369
2017-02-03,facebook,543
2017-02-03,mailchimp,369
2017-02-04,facebook,543
2017-02-04,mailchimp,369
2017-02-05,facebook,543
2017-02-05,mailchimp,369
2017-02-06,facebook,543
2017-02-06,mailchimp,369
2017-02-07,facebook,543
2017-02-07,mailchimp,370
2017-02-08,facebook,543
2017-02-08,mailchimp,370
2017-02-09,facebook,544
2017-02-09,mailchimp,370
2017-02-10,facebook,544
2017-02-10,mailchimp,370
2017-02-11,facebook,544
2017-02-11,mailchimp,370
2017-02-12,facebook,544
2017-02-12,mailchimp,370
2017-02-13,facebook,543
2017-02-13,mailchimp,370
2017-02-14,facebook,544
2017-02-14,mailchimp,370
2017-02-15,facebook,545
2017-02-15,mailchimp,371
2017-02-16,facebook,546
2017-02-16,mailchimp,371
2017-02-17,facebook,547
2017-02-17,mailchimp,372
2017-02-18,facebook,548
2017-02-18,mailchimp,372
2017-02-19,facebook,548
2017-02-19,mailchimp,372
2017-02-20,facebook,549
2017-02-20,mailchimp,374
2017-02-21,facebook,552
2017-02-21,mailchimp,377
2017-02-22,facebook,555
2017-02-22,mailchimp,378
2017-02-23,facebook,556
2017-02-23,mailchimp,380
2017-02-24,facebook,556
2017-02-24,mailchimp,381
2017-02-25,facebook,557
2017-02-25,mailchimp,381
2017-02-26,facebook,557
2017-02-26,mailchimp,381
2017-02-27,facebook,558
2017-02-27,mailchimp,381
2017-02-28,facebook,560
2017-02-28,mailchimp,381
2017-03-01,facebook,560
2017-03-01,mailchimp,382
2017-03-02,facebook,560
2017-03-02,mailchimp,382
2017-03-03,facebook,561
2017-03-03,mailchimp,382
2017-03-04,facebook,561
2017-03-04,mailchimp,382
2017-03-05,facebook,561
2017-03-05,mailchimp,382
2017-03-06,facebook,561
2017-03-06,mailchimp,382
2017-03-07,facebook,561
2017-03-07,mailchimp,382
2017-03-08,facebook,562
2017-03-08,mailchimp,382
2017-03-09,facebook,563
2017-03-09,mailchimp,382
2017-03-10,facebook,563
2017-03-10,mailchimp,384
2017-03-11,facebook,566
2017-03-11,mailchimp,384
2017-03-12,facebook,570
2017-03-12,mailchimp,384
2017-03-13,facebook,572
2017-03-13,mailchimp,384
2017-03-14,facebook,575
2017-03-14,mailchimp,384
2017-03-15,facebook,578
2017-03-15,mailchimp,386
2017-03-16,facebook,578
2017-03-16,mailchimp,386
2017-03-17,facebook,578
2017-03-17,mailchimp,386
2017-03-18,facebook,579
2017-03-18,mailchimp,386
2017-03-19,facebook,580
2017-03-19,mailchimp,387
2017-03-20,facebook,580
2017-03-20,mailchimp,387
2017-03-21,facebook,580
2017-03-21,mailchimp,389
2017-03-22,facebook,580
2017-03-22,mailchimp,390
2017-03-23,facebook,580
2017-03-23,mailchimp,390
2017-03-24,facebook,580
2017-03-24,mailchimp,390
2017-03-25,facebook,580
2017-03-25,mailchimp,390
2017-03-26,facebook,580
